codigo_indicador,codigo_pais,codigo_area,tipo_incidencia,descripcion,accion_aplicada,estado
TERR_DENS,IOT,AFR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,CXR,APC,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,CCK,APC,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,NFK,APC,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,PCN,APC,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,ALA,EUR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,SJM,EUR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,GGY,EUR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,JEY,EUR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
TERR_DENS,XKX,EUR,DATO_AUSENTE,Falta superficie terrestre 2023,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,DZA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,AGO,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,BWA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,IOT,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,BDI,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,CMR,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,CPV,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,CAF,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,TCD,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,COM,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MYT,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,COG,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,COD,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,BEN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GNQ,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ETH,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ERI,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,DJI,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GAB,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GMB,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GHA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GIN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,CIV,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,KEN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,LSO,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,LBR,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,LBY,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MDG,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MWI,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MLI,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MRT,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MUS,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MAR,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MOZ,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,NAM,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,NER,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,NGA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GNB,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,REU,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,RWA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SHN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,STP,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SEN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SYC,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SLE,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SOM,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ZAF,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ZWE,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SSD,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SDN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ESH,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,SWZ,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,TGO,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,TUN,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,UGA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,EGY,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,TZA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,BFA,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ZMB,AFR,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,ASM,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,AUS,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,SLB,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,BRN,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MMR,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,KHM,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,TWN,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,CXR,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,CCK,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,COK,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Se mantiene ausente; la cobertura poblacional del área alcanza el 95 %.,ACEPTADA CON OBSERVACIÓN
POB_URB,FJI,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,PYF,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,KIR,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,GUM,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,IDN,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,JPN,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,PRK,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,KOR,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,LAO,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MYS,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
POB_URB,MNG,APC,DATO_NO_INCORPORADO,No existe serie nacional de poblacion urbana incorporada,Incorporado WB_WDI_SP.URB.TOTL.IN.ZS 2023.,RESUELTA
